Yayasan,Alamat,Telp
Pondok Pesantren Nurul Islam Lawe Tuban,"Jl. Kelapa GadingKuning, Kec. Bambel, Kab. Aceh Tenggara, 24671. NAD.",
Yayasan Pendidikan Islam Teungku Syeik Habib Ibrah,"Jl. Tapaktuan - Medan Km 17 Sp. 4 Terbangan Desa Ladang Tuha, Kec. Pasie Raja",0656323466/ 085260750746 Fax. 0656 32346
Pesantren Modern Al Azhar,Jl Kuta seri Terutung Payung Desa Pedesi Kutacane,
Pondok Pesantren Darul Ihsan,Desa Bambel Gabungan Kec. Bambel,081533234667
Yayasan Pondok Pesantren Bustanul Arifin,"Blangjerango Toa, Kampung Penosan Kec. Blangjerango",
Yayasan PKBM Bina Bangsa,"Desa Bukit Bintang Indah Terpencil, Kec. Leuser Jl. Lawe Desky-Aceh Singkil km 25",085297688265
Pondok Pesantren/Dayah Istiqamatuddin Darun Naja,"Jl. Keude Geureubak - Idi Cut No. 4-5 Gampong Paton Rayeuk M, Kec. Banda Alam",085262406895
Pesantren Mishbaahul Huda,"Gampong Blang Garot, Kec. Indrajaya",081360590790
Yayasan Pondok Pesantren Fathul Ainyah,"Desa Dayah Baroh, Kec. Ulim Jl. B. Aceh - Medan Km. 166",085277094338
Yayasan Babussalam,"Desa Pandan I, Kec. Siempat Nempu Hulu",
Yayasan Immanuel,"Desa Bertungen Julu, Kec. Tigalingga",085275816774
Yayasan Bunda Maria,"Desa Pasir Tengah, Kec. Tanah Pinem",081370364904
Yayasan Doa Bunda,"Kel. Batang Beruh, Kec. Sidikalang",
Yayasan Misionaris,"Desa Juhar Ginting, Kec. Juhar",081397661777
Yayasan Islam Addinu Wannajah Desa Perbulan,"Jl. Medan Kota Cane No. 55 Laupatepu - Perbulan Kec. Lau Baleng, Kab. Karo Sumut",
Yayasan Perguruan Pendidikan Islam Al Istiqamah (P,Jl. Besar No. 94 Tigabinanga Kab. Karo  Sumut 22162 -,0628-410116
Pesantren Salafiyah Darussalam,Jl. Darussalam No.01 Kota Pematang Siantar  Sumut 21138 -,0622-430316 ; 7078705
Pondok Pesantren Thoiyibah Islamiyah,Hutaraja Kec. Portibi Kab. Tapanuli Selatan Sumatera Utara,085262907110
Yayasan Pondok Pesantren Islamiyah Pintu Padang Si,Jl. Gunung Tua Padangsidempuan Km 13 Kec. Padang Bolak Kab. Tapanuli Selatan,0635-510458
Yayasan Taufiq Hidayah,Jl. Medan - Kutacane Perbulan No. 55 Kec. Lau Baleng,0628 7366025 081263411786
Yayasan Pendidikan Sosial dan Dakwah Al Fityah,Jl. Teko No. 2,
Yayasan Ate Keleng GBKP,Jl. Jamin Ginting Km. 45 Sukamakmur Kec. Sibolangit 20357,0628 97267; 97366; fax. 0628 97508; parp
Paroki Santa Lusia Parlilitan,Jl. Sion Kec. Parlilitan,081263656018; 0622 27636
Yayasan Don Bosco Katolik Budi Murni,"Desa Laubaleng, Kec. Laubaleng",0628 7368032
Yayasan Islam Al Amanah,"Jl. Batu Rongkam Desa Lau Mandin, Kec. Mardingding",0628 7366039
Yayasan Islam Pemberdayaan Umat Ar Rahman,"Jl. Medan-Kotacane No. 71 Desa Perbulan, Kec. Laubaleng 22164",0628 7367121; 081973135098
Yayasan Pembinaan Masyarakat Al Fatah Singalor Lau,KPT. Pala No. 36 Tiga Binanga,0628 410340
GKI Sumut Naga Rejo,"Desa Nogo Rejo, Kec. Galang",081376536760
Gereja Batak Karo Protestan Payung,"Desa Payung, Kec. Payung",081264083748
GBKP Pancur Siwah,"Desa Batu Karang, Kec. Payung",081534648241
Perkumpulan Anugerah Kasih Setia Gereja Masehi Adv,Jl. Teladan No. 1A Medan 20217,0617322880
Yayasan Pendidikan Pesantren Al Mahrus,Jl. Rumah Potong Hewan Lk. IV Mabar Hilir Medan,0616854226
Yayasan Cendekia,"Jl. Kyai No.17, Kel. Bantan, Kec. Siantar Barat",081362356424
Lembaga Pendidikan Baiturrahman Saribudolok,Jl. Masjid No. 3 Saribudolok 21167,0811642140
GKPS Kongsilaita Sondiraya,Nagori Sondiraya,081260620707
GKPS Resort Imanuel Saribudolok,Kel. Saribudolok,0622370623
Pondok pesantren Tarbiyah Islamiyah At Taqwa Candu,"Jorong Tigo Kampuang, Nagari Canduang,  Koto Laweh, Kec. Candung, Kab. Agam  Sumbar",0752-426600 - 426091 HP  0813 63272126
Pondok Pesantren Salafiyah Darul Muttaqin,Padang Magek Selatan Kec. Rambatan 27271 Batusangkar Kab. Tanah Datar  Sumbar - Jl. Simpago Belimbing Km 2,081374029844
Pondok Pesantren Al Manaar Batuhampar,"Jl. Simp. Batuhampar, Kec. Akabiluru",0752 7762077 Email : Ponpes AlManaar@Ya
Pontren Al Ishlahiyah,"Jl. Negara Desa Pancur, Desa Pancur Kec. Keriting Kab. Indragiri Hilir,",HP  081364431212;  0768 - 21830
Pontren Tunas Harapan,"Jl. Pendidikan 14 Hilir RT 16 RW 06, Desa Tembilahan Hilir Kec. Tembilahan Hilir Kab. Indragiri Hilir",
Yayasan Pendidikan Laanatuth Thalibiin,"Jl. Raya Perawang Minas Km 08  Desa Perawang Barat Kec. Tualang,  Kab. Riau - Propinsi Riau",
Pondok Pesantren As Salam,Desa Geringging Baru Kecamatan Benai Kab. Kuantan Singingi Riau,
Yayasan Ummatan Wasathan Pesantren Teknologi Riau,Jl. Cut Nyak Dien No. 2 Pekanbaru,0761-33147; 21388
Pontren Al Fatah,Jl. Pendidikan RT 10 Dusun Iia Desa Payo Lebar Kec. Pelawan Singkut Kab. Sarolangun,
Pontren Al Mustofa Tsani,"Jl. Lintas Timur Km. 112 RT/RW 04/02, Desa Rantau Badak Kec. Merlung Kab. Tanjung Jabung Barat",
Pontren Al Inayah,"Jl. Laksamana, Rimbo Bujang Kab. Tebo",
Pontren Ash Shidiqiyah,"Desa Rantau Kasih, Kec. Babat Toman, Kab. Musi Banyuasin",
Pontren Raudhatul Ulum,"Jl. Lintas Timur Km. 35, Desa Sakatiga Kec. Indralaya Kab. Ogan Komering Ilir,",08127120080
Pondok Pesantren Sabilillah,Kedaton Lingkungan III Kec. Kota Kayuagung,
Pondok Pesantren Manbaul Hikmah,"Desa Sungai Belida, Kec. Lempuing",0852273367110
Pondok Pesantren Manbaul Ulum,"Desa Lubuk Makmur, Kec. Lempuing Jaya",081377683012
Pondok Pesantren Daarus Salam,"Jl Jayawijaya , Kel Dusun Besar,",085664910909
Pontren Hidayatullah,"Jl. Halmahera, Kel. Surabaya, Kec. Sungai Serut, Kota Bengkulu",0736 - 341603
Pondok Pesantren Miftahussibyan,Desa Air Bening Kec. Bermani Ulu Raya,
Pondok Pengajian Siti Ayarmah,"Desa Pajar Bulan, Kec. Seginim",
Pondok Pesantren Al Hidayah,Jl. Hi. Nawi Desa Sinar Harapan  Kec. Sungkai Barat Kab Lampung Utara,0828 7076506; 0856 69760841
Pondok Pesantren Darul Amal,Jl. Pesantren Mulyojati 16B Kec Metro Barat Kota Metro -  Lampung  34125,0725-44418
Pondok Pesantren Darul Hikmah,Jl. Pramuka Kampung Taman Asri Kec. Baradatu Kab Way Kanan - Lampung,
Pondok Pesantren Makkah,Jl. Poros SP3 Bumi Jaya - Karta Jaya  Pakuan Ratu Kec. Negara Batin kabupaten  Kab. Way kanan Lampung,0813 69534980
Yayasan Al Muawwanah,Kampung Kroy Kel. Way Laga Kec. Panjang,0721 9921043 / 081379773203
Yayasan Anugerah Semesta,Jl Sultan Agung Y-23,81381829999
Pondok Pesantren Al Ariffiyah,"Jl. Raya Sumberejo, Kec. Kota Gajah 34153",0828 706 9661 / 08127967350
Yayasan Baitul Muslim,Jl. Ir. Hi. Juanda No. 19 Labuhan Ratu Satu Way Jepara 34196,0725 640976
Pondok Pesantren Al Hidayatul Mubtadiin,"Bontor, Desa Madajaya, Kec. Kedondong KP. 35381",085669923284
Pondok Pesantren Miftahul Jannah,Jl. Negara No. 38 Sidoarjo Blambangan Umpu,081369531447
Pondok Pesantren Salafiyah Mathlaul Anwar,"Jl. Negara No. 429-430, Kampung Tiuhbalak Pasar, Kec. Baradatu Kabupaten Way Kanan, Lampung 34761 /",081369001079
Yayasan Al Mubarok,Jl. Yos Sudarso Way Lunik Teluk Betung Selatan,0813 7913 0355
Pondok Pesantren Nurul Falah,"Jl. S. Parman No. 9 Cintamulya, Kec. Candipuro 35453",085269007572
Yayasan Nurul Hidayah Kuripan,Jl. Pratu Nasrun Dsn. Karya Tani Ds. Karya Tunggal Kec. Katibung,
Pondok Pesantren Bumi Sholawat Safinatun Najaa,"Desa Wates, Kec. Bumiratu Nuban",081219237303
Pondok Pesantren Daarul Muttaqiin,"Desa Pujokerto, Kec. Trimurjo",085669926453
Pondok Pesantren Nurul Qodiri,Jl. Lintas Timur Km.88 Lempuyang Bandar Kec. Way Pengubuan Kab. LAMPUNG Tengah Kode pos 34165,Telp. 081540987991
LM3 Walisongo Maruyung,"Bandar Putih Tua, Anak Ratu Aji",081369058763
Yayasan Pondok Pesantren Darul Hikmah,Batu Betumpang Kec Payung Bangka  Selatan - Bangka Belitung,
Pontren Darul Furqan,Jl. Pendidikan Sawang Laut RT 01 RW 02 Desa Sawang Laut Kec. Kundur Barat Kab. Karimun,0779 21348
Yayasan Assalamah (YAPISA),Desa Karangjaya Kec. Pedes Karawang  No.,HP  0856 9770 6248
Pondok Pesantren Nurul Hidayah,Leuwiliang,
Daarul Ulum,Kp. Sukaraja Ds. Jatisari Kec. Karangpawitan,
Al Muhtohar,Kp. Legok Rt 01/01 Palinggihan Plered,
Yayasan Insan Sejahtera Pondok Pesantren Baitul Mu,"Ds. Sukareja, Pamanukan",
Yayasan Asy syahidiyah Al Islamiyah,Jl. Kapten Sangun No. 06 Cicalengka Bandung 40295 -,022-7951014
Yayasan Pondok Pesantren & Yatim Piatu Nurussaadah,Jl. Intake Kamp. Cikereti RT. 12/05 Desa  Seguling - Kec. Batujajar  -  Bandung 50461,Ir. A. Tisna Umaran 0812 2376394  022-77
Pondok Pesantren Darul Huda,"Jl. Raya Cimaragas, KM 4 PO Box 127 Balokang Banjar Jawa Barat","0263-7075341, HP  0818620016"
Pondok Pesantren Kafatul Maaniyah,"Kp. Pula, RT 002/01 Dsn III Ds. Sumber Jaya Kec. Tambuan Selatan Bekasi,","021-98258389, 70694647 Fax 021 - 883696"
Pondok Pesantren Al Musaadah,Kp. Tegal Caang RT 03/04 Desa Sukamaju Kec. Cibeber Kabupaten Cianjur Jabar,0263-2336552 HP  0813 20004354
Pondok Pesantren An Nur,Desa Cimanggu Kec Cibeber  Kab. Cianjur -,Nanang Sulaeman  0263-2336693; HP  0815
Pondok Pesantren Miftahus Syuhada Hegarmanah,"KP. Hegarmanah Rt.02 Rw 11 Ds. Sukasima Kec. Leles , Kab Cianjur Jabar, atau Jl. Ir H. Juanda No. 840, RT 03 RW 17 Gg. Sabu Bojongherang, Kec. Cianjur.",
Pondok Pasentren Nurmayasari,"Margaluyu, Kec. Cempaka. Kab. Cianjur",HP  0856 24322449 Zainal Mutakin
Yayasan Pendidikan Islam AL UTSMANIYAH,Jl. Raya Perbangsa I Desa Sumur Gede  RT 01/01 Kec Cilamaya Kulon  Kab Karawang Jabar,HP  0856 9224 7511 - 081511439490
Pondok Pesantren Misbahul Huda,"Ds. Cikuntul, Kec. Tempuran Kab Karawang. 41385",HP  081546516721
Pondok Pesantren Miftahul Hidayah,Blok Puhun Desa Sidaraja Kec. Ciawigebang - Kab. Kuningan -  Jabar,
Pondok Pasenteren Bustanul Huda,"Blok Ahad RT/RW 03/02, Desa Pasir",0233-885164
Yayasan Nurul Fata,"RT.08 RW.03  Ds. Sukahaji Kec. Tegalwaru kabupaten Purwakarta,  Jawa Barat",0264-271522
Pontren Nuru Huda,"Pondok Leungsir Wetan Cisadrade, Sukabumi -",0266-237238
Yayasan Ardli Sela Pondok Pesantren Asyrofuddin Ci,Dusun Cipicung Desa Conggeang Wetan Kec. Conggeang  Kab Sumedang  -  Jabar,
Pondok Pesantren Pagelaran II Sumedang,"Jl. Raden Sodikin No. 6 B, Desa Regol Wetan, Kec. Sumedang Selatan, Kab. Sumedang, Jawa Barat",
Pondok Pesantren Muawanah,"Kp. Cidahu Tonggoh, Mekarwangi,  Cisayong - Tasikmalaya, Jabar - 46153",: 0265-420479 HP : 08122230356 M.Yayan
Pondok Pesantren Al Makmur Mansyuriah,"Pasanggrahan RT 1/1, Desa Sinarjaya Kec. Gn. Halu.",0226950343/ 6950414/5204250
Pondok Pesantren Babakan Jamanis,"Jl. Cigugur Km. 3 Pasirkiara Karangbenda Kec. Parigi, Kab. Ciamis",
Pondok Pesantren Bahrul Ulum,"Kp. Mandalare, Desa Mandalare, Kec. Panjalu,",0265-450420
Pondok Pesantren Al Mukhtariyah,KP. Cisalak RT 4/6 Desa Mayak Kec. Cibeber KP. 43262,0263 2336552 / 081320004354
