Yayasan,Alamat,Telp
Panti Asuhan Al Fien,Jl. Sari Asih I no 2 Sarijadi,2016428
Panti Asuhan Al Hadiyyin,Jl. Venus Tim. IX No.16 Komp. Metro,082119333508
Panti Asuhan Al Hidayah,Jl. Kebon Jayanti No 181/134 A,
Panti Asuhan Al Hilal,Jl. Peta no. 156/95,5221471
Panti Asuhan Al Mansukh,"Jl. Raya Pangalengan No.7 RT.02/RW.01, Desa Margahurip Asih 40377",08999486224
Panti Asuhan Amanah,Jl. Batununggal No 63 A,
Panti Asuhan Amanah Umah,Jl. Cicukang no.54 Cisaranten Arcamanik,70781878 -70052500
Panti Asuhan Anak Saleh,Jl. Rancabolang No 1,7531120
Panti Asuhan Annida Rosada,Jl. Karapitan No 58/36A,4218590
Panti Asuhan As Suada,Jl. Cijerah Gg. Pesantren No 83,
Panti Asuhan Asrama Putra,Jl. Macan no 58,7304302
Panti Sosial Asuhan Anak Nugraha,Jl. PLN Dalam No. 4-6,5225205
Panti Asuhan Anak Arafah,Jl. Raya Ranca Panggung,6941291
Panti Asuhan Baabussalam,Jl. Cilengkrang II No 34,87836317
Panti Asuhan Baitul Muslimun,Jl. Rumah Sakit Ujung Berung,
Panti Asuhan Bani Salam,Jl. Terusan Buah Batu No.283,085222322669
Panti Asuhan Bayi Sehat,Jl. Purnawarman No 25,4239882
Panti Asuhan Budhi Pertiwi,Jl. Moch. Toha Gg Pak Uca,5225918
Panti Asuhan Darul Mutadi Al-Mubarokah,Jl. Bokong Raya G. Haji Sanusi No 293,
Panti Asuhan Dana Mullia,Jl. Pasteur No. 12,2031348
Panti Asuhan Daarul Mutmainah,Kav Dr Setiabudi Indah Kav 24,2003228
Panti Asuhan Fajar Harapan,Jl. Surapati RT 04 RW 05 Sukaluyu,
Panti Asuhan Harapan Ummat,Jl. Otista No 180.95,5208026
Panti Asuhan Harapan Muhammadiyah,Jl. Pasir Jaya VI No. 20 Ancol,5207195
Panti Asuhan Ikhlasul Amal,Jl. Padasuka 192,7106226
Panti Asuhan Insan Harapan,Jl. A. Yani Gg. Selamet II NO 37/132D,7218473
Panti Asuhan Kuncup Harapan,Jl. Garunggang Kulon No 431,2037609
Panti Asuhan Kurnia Asih,Jl. Pasirluyu Raya No 151,
Panti Asuhan Maranatha BK Putra,Jl. Dr. Cipto no 7,4230480
Panti Asuhan Multazam,Jl. Padasuka No 88,7206411
Panti Asuhan Nugraha,Jl. PLN Dalam No 4-6 Moh.Toha,5200435
Panti Asuhan Nurul Ichsan,Jl. Mekar Manah No 7 Komp. Saibi,6010939
Panti Asuhan Nurul Ummah,Jl. Sauyunan I No 14,5416708
Panti Asuhan Nurusyifa,Jl. Terjun Payung 29-30,7276610
Panti Asuhan Pemberdayaan Ummat,Jl. Suniaraja Gg. Apandi III No 74/11,
Panti Asuhan Pembina Asuhan Bunda,Jl Raya Kartika 1,2010448
Panti Asuhan PSSA Al Hayat,Jl. Cibatu Raya No. 64 Antapani,7102890
Panti Asuhan Putera Harapan,Jl. Pasir Jaya VI No 20,5207195
Panti Asuhan Taman Harapan,Jl. Nilem No.9,7303530
Panti Asuhan Tambatan Hati,Jl. Galunggung No 23,7302008
Panti Asuhan Tunas Harapan,Jl. Asep Berlian Gg. Bastaman 16,7274594
Panti Asuhan Tunas Melati,Jl. Batu Raden VII No 99,081809666010
Panti Asuhan Rumah Yatim,Jl. Buah Batu No. 296,7312027
Panti Asuhan Ulul Albab,"Jl. Wiradisastra No 1 Sadakeling (Karapitan, depan Babe)",7308659
Panti Asuhan Wahdatul Ummah,Jl. manglayang Baru III No 286,7810104
Panti Asuhan William Booth BK Puteri,Jl. Jawa No 18,4205549
Panti Asuhan Wisma Putera,Jl. Ciumbeuleuit No 105,2037349
Panti Asuhan Yapita Al-Muslimun,Jl. Saturnus Utara XVI Margahayu Raya,7512881
Panti Asuhan Yatim Indonesia,Jl. Komp. Kopo Permai III,5406227
Panti Asuhan Muhammadiyah Sumur Bandung,Jl. Veteran Blk No 91,4210572
