Yayasan,Alamat,Telp
Panti Asuhan Setia Budi,Jalan Raya Desa Kedungrukem Kec. Benjeng Kab. Gresik,"081233322188, 081216611663"
Panti Asuhan Hasanuddin,Jalan Raya Desa Mojopurogede No. 39 Kec. Bungah Gresik,085697999706
Panti Asuhan Roudlotul Hikmah,Jalan Pati No. 39-40 Desa Banjarsari Kec. Cerme Gresik,"085667676740, 081216989259"
Panti Asuhan Yatim Muhammadiyah,Jalan Raya Desa Mojopurogede Km. 24 Kec. Bungah Gresik,085736546889
Yayasan Asy-syahadah,Jalan KH. Kholil 03 Kelurahan Yosowilangon Kec. Manyar Gresik Kota Baru (GKB),085259445566
Panti Asuhan Al Amin,Jalan Dusun Munggusoyi No. 4 Desa Munggugebang Kec. Benjeng Gresik,"085100228948, 085102843591"
Panti Asuhan Al Hadi,Jalan Kamboja RT 05 / RW 03 Desa Ima’an Kec. Dukun Gresik,081554778553
Panti Asuhan Wali Songo,Jalan KH. Syukur RT 15 / RW 05 Desa Petung Kec. Panceng Gresik,085853155698
Panti Asuhan Nur Rohmat,Jalan Dusun Sidomulyo Desa Babakbawo Kec. Dukun Gresik,085736980432
Yayasan Hidayah Umat,Jalan Bali H-02 Perumahan Sidorukun Indah Kebomas Gresik,"0313987764, 085731515440"
Yayasan Putri Fadhilah,Jalan Merak Blok D-17 Graha Kembangan Asri (GKA) Gresik,081321813609
Yayasan Khoirun Nisa,Jalan Kapten Dulasim 3 No 5B Pulopancikan Kec. Gresik,"0313987543, 082132426099"
Yayasan Miftahul Jannah,Jalan R. A. Kartini XVIII / No 67 Sidomoro Kec. Kebomas,089656090992
Panti Asuhan Nurul Jannah,"Jalan Manggis No 2-8, Karangpoh Kec. Gresik","0313981348, 082233334572"
Yayasan Al Lail,Jalan Kayu VI No 13 Perum Pongangan Indah (PPI) Kec. Manyar,"03199102642, 085706408238"
Yayasan Reitra,"Jalan KH. Abdul Karim No 64 Pekelingan, Kec. Gresik",0313983640
Yayasan Riyadhul Jinaan,Jalan Veteran Madya 41B Gending Kec. Kebomas,081330759779
Yayasan Al Muhajirin,"Desa Banyuurip, Kec. Ujungpangkah",081234726667
Yayasan Mambaul Ulum,"Desa Bedanten, Kec. Bungah",08123027217
Yayasan Roudlotul Yatim,"Desa Pangkah Wetan, Kec. Ujungpangkah",081234551337
Yayasan  Himmatun Ayat,Kec. Manyar,081938471348
Yayasan Darul Ubudiyah,Kec. Cerme,082139490285
